Model,Cumulative Return,Annual Return,Sharpe Ratio,Max Drawdown,Volatility,Total Trades,Long%,Short%
seed_100,149.88%,35.70%,0.881,-62.71%,47.34%,512,71.69%,7.40%
Buy-Hold,98.22%,25.62%,0.697,-67.21%,52.34%,0,100.00%,0.00%
