model,tau_up,tau_dn,margin,median_sharpe,geo_equity,avg_trades,total_trades,avg_win_rate
gb,0.35,0.35,0.0,2.258288262629953,1.6214843659527431,12.21951219512195,501,0.597196164269335
gb,0.35,0.35,0.02,2.258288262629953,1.6144567541917572,12.21951219512195,501,0.5934438190535751
gb,0.35,0.35,0.04,1.7410696813492845,1.5280774559029138,12.21951219512195,501,0.5859391286220554
gb,0.35,0.35,0.06,1.7410696813492845,1.455602467786563,12.170731707317072,499,0.5901605169897853
gb,0.35,0.35,0.08,1.96248215260163,1.5359525220594918,12.097560975609756,496,0.6007921617677715
gb,0.35,0.35,0.1,2.0429666898979018,1.6172252846309778,12.024390243902438,493,0.6073161256088085
gb,0.35,0.35,0.12,2.1825949477242026,1.654537587416883,12.0,492,0.6051841112816723
gb,0.35,0.35,0.14,2.1825949477242026,1.6488422708604253,11.853658536585366,486,0.6105226751568215
gb,0.35,0.35,0.16,2.1825949477242026,1.6266183232467861,11.804878048780488,484,0.603333522845718
gb,0.35,0.35,0.18,2.1825949477242026,1.623395576578238,11.804878048780488,484,0.603333522845718
gb,0.35,0.35,0.2,2.1825949477242026,1.6314905376181996,11.75609756097561,482,0.6008528057308545
gb,0.35,0.4,0.0,2.201198569430926,1.62157476576645,12.282051282051283,479,0.5911581296196682
gb,0.35,0.4,0.02,2.2388088954444236,1.673565773213737,12.282051282051283,479,0.5931305162074394
gb,0.35,0.4,0.04,1.8996136269940578,1.6449627733315357,12.282051282051283,479,0.5891857430318971
gb,0.35,0.4,0.06,1.8142881110638158,1.5532636901018844,12.256410256410257,478,0.5883639152869923
gb,0.35,0.4,0.08,2.0205646840228986,1.602428232805198,12.23076923076923,477,0.5891857430318971
gb,0.35,0.4,0.1,2.0429666898979018,1.6319775747818714,12.179487179487179,475,0.5951029027952107
gb,0.35,0.4,0.12,2.0429666898979018,1.6487851278812415,12.179487179487179,475,0.5911581296196682
gb,0.35,0.4,0.14,2.0429666898979018,1.585740348193723,12.102564102564102,472,0.5862122208276056
gb,0.35,0.4,0.16,2.0429666898979018,1.5991684552781718,12.102564102564102,472,0.5840754686908535
gb,0.35,0.4,0.18,2.0429666898979018,1.5991684552781718,12.102564102564102,472,0.5840754686908535
gb,0.35,0.4,0.2,2.0429666898979018,1.5991684552781718,12.102564102564102,472,0.5840754686908535
gb,0.35,0.45,0.0,1.7601179382449728,1.4864460067499916,12.105263157894736,460,0.579153887048624
gb,0.35,0.45,0.02,1.7601179382449728,1.4822836557696473,12.105263157894736,460,0.5751053040526726
gb,0.35,0.45,0.04,1.7601179382449728,1.4796144536803553,12.105263157894736,460,0.5752739950108372
gb,0.35,0.45,0.06,1.7601179382449728,1.4789120305803378,12.105263157894736,460,0.5710567210567212
gb,0.35,0.45,0.08,1.7601179382449728,1.4711051477126096,12.105263157894736,460,0.5710567210567212
gb,0.35,0.45,0.1,2.0187272288853073,1.49969375653631,12.078947368421053,459,0.5805892937471886
gb,0.35,0.45,0.12,2.0187272288853073,1.5070035873219554,12.078947368421053,459,0.5785650022492129
gb,0.35,0.45,0.14,1.879650998260414,1.4933460383112702,12.026315789473685,457,0.5807426491637019
gb,0.35,0.45,0.16,1.8037654779476382,1.5233713127021629,12.026315789473685,457,0.5833343557027769
gb,0.35,0.45,0.18,1.8037654779476382,1.5073753863639137,12.0,456,0.5803531264057581
gb,0.35,0.45,0.2,1.8037654779476382,1.495454016004106,12.0,456,0.5783288349077824
gb,0.35,0.5,0.0,2.2299066096408993,,12.194444444444445,439,0.5981338106338108
gb,0.35,0.5,0.02,2.2299066096408993,,12.194444444444445,439,0.5981338106338108
gb,0.35,0.5,0.04,2.2299066096408993,,12.194444444444445,439,0.5981338106338108
gb,0.35,0.5,0.06,2.2299066096408993,,12.194444444444445,439,0.5981338106338108
gb,0.35,0.5,0.08,2.3741568934152255,,12.166666666666666,438,0.603072082238749
gb,0.35,0.5,0.1,2.3741568934152255,,12.166666666666666,438,0.603072082238749
gb,0.35,0.5,0.12,2.3741568934152255,,12.166666666666666,438,0.603072082238749
gb,0.35,0.5,0.14,2.3741568934152255,,12.166666666666666,438,0.603072082238749
gb,0.35,0.5,0.16,2.3741568934152255,,12.166666666666666,438,0.603072082238749
gb,0.35,0.5,0.18,2.2299066096408993,,12.166666666666666,438,0.6009353301019968
gb,0.35,0.5,0.2,2.2299066096408993,,12.166666666666666,438,0.6037131078797746
gb,0.35,0.55,0.0,2.175172108549141,,12.0,420,0.5995915195915197
gb,0.35,0.55,0.02,2.175172108549141,,12.0,420,0.5995915195915197
gb,0.35,0.55,0.04,2.175172108549141,,12.0,420,0.5995915195915197
gb,0.35,0.55,0.06,2.175172108549141,,12.0,420,0.5995915195915197
gb,0.35,0.55,0.08,2.175172108549141,,12.0,420,0.5995915195915197
