model,tau_up,tau_dn,margin,median_sharpe,geo_equity,avg_trades,total_trades,avg_win_rate
linsvc,0.35,0.35,0.0,2.3448643291340026,1.6419626259181301,12.414634146341463,509,0.6012061109622086
linsvc,0.35,0.35,0.02,2.2866990892999053,1.622005666789398,12.414634146341463,509,0.6012061109622086
linsvc,0.35,0.35,0.04,2.252160305987589,1.6119748689187978,12.414634146341463,509,0.6068346287858484
linsvc,0.35,0.35,0.06,2.267084668531244,1.6451593322093208,12.390243902439025,508,0.6135575806307513
linsvc,0.35,0.35,0.08,2.2379889315301194,1.5659207828914317,12.390243902439025,508,0.6079290628071117
linsvc,0.35,0.35,0.1,2.2379889315301194,1.6618084469772383,12.341463414634147,506,0.615746448673278
linsvc,0.35,0.35,0.12,2.3448643291340026,1.6236632014086883,12.292682926829269,504,0.6162581321117907
linsvc,0.35,0.35,0.14,2.3448643291340026,1.6220071398959346,12.24390243902439,502,0.6183048658658415
linsvc,0.35,0.35,0.16,2.3448643291340026,1.6295969493035252,12.24390243902439,502,0.6186459881581833
linsvc,0.35,0.35,0.18,2.3448643291340026,1.6355869227970248,12.24390243902439,502,0.6186459881581833
linsvc,0.35,0.35,0.2,2.3604326504441557,1.6383548338910283,12.24390243902439,502,0.6166134678329801
linsvc,0.35,0.4,0.0,2.258288262629953,1.7553889431386973,12.384615384615385,483,0.606754356754357
linsvc,0.35,0.4,0.02,2.252160305987589,1.6705472483400066,12.384615384615385,483,0.6008371969910434
linsvc,0.35,0.4,0.04,2.252160305987589,1.6849817823126814,12.384615384615385,483,0.606754356754357
linsvc,0.35,0.4,0.06,2.252160305987589,1.696316451554183,12.384615384615385,483,0.6106991299298994
linsvc,0.35,0.4,0.08,2.252160305987589,1.6730692682207242,12.384615384615385,483,0.6087267433421282
linsvc,0.35,0.4,0.1,2.252160305987589,1.6781167874088672,12.384615384615385,483,0.6087267433421282
linsvc,0.35,0.4,0.12,2.2687111790751713,1.6081669957321196,12.384615384615385,483,0.6106991299298994
linsvc,0.35,0.4,0.14,2.2687111790751713,1.6099513598448056,12.384615384615385,483,0.6106991299298994
linsvc,0.35,0.4,0.16,2.2687111790751713,1.6100457416441998,12.384615384615385,483,0.6106991299298994
linsvc,0.35,0.4,0.18,2.2687111790751713,1.6094824576856692,12.384615384615385,483,0.6087267433421282
linsvc,0.35,0.4,0.2,2.2687111790751713,1.6094824576856692,12.384615384615385,483,0.6087267433421282
linsvc,0.35,0.45,0.0,2.258288262629953,1.6735029350180097,12.371428571428572,433,0.6006764663907522
linsvc,0.35,0.45,0.02,2.258288262629953,1.6735029350180097,12.371428571428572,433,0.6006764663907522
linsvc,0.35,0.45,0.04,2.258288262629953,1.6735029350180097,12.371428571428572,433,0.6006764663907522
linsvc,0.35,0.45,0.06,2.258288262629953,1.6735029350180097,12.371428571428572,433,0.6006764663907522
linsvc,0.35,0.45,0.08,2.258288262629953,1.6706337916433693,12.371428571428572,433,0.6006764663907522
linsvc,0.35,0.45,0.1,2.258288262629953,1.6706337916433693,12.371428571428572,433,0.6006764663907522
linsvc,0.35,0.45,0.12,2.258288262629953,1.627823393511027,12.371428571428572,433,0.6006764663907522
