open_time,close,returns_24h,returns_7d,price_zscore_20,price_momentum_10,ma20_ma100_ratio,ma_arrangement,ma5_slope,ma20_slope,volatility_20d,atr_14,volume_ratio_20,taker_buy_ratio,obv_momentum,rsi_14,macd,bb_position,bb_width,resistance_distance_20,support_distance_20,price_percentile_50,day_of_week,us_session,transaction_count_24h,fear_greed_index,funding_rate_deviation,open_interest_total,orderbook_imbalance,future_close,r_future_7d,y_up,y_dn
2020-11-06 00:00:00,15430.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,16432.99,0.06496946303679474,1,0
2020-11-06 04:00:00,15733.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,16253.3,0.03305091748075739,1,0
2020-11-06 08:00:00,15572.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,16225.0,0.04191015363117723,1,0
2020-11-06 12:00:00,15411.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100.17,0.04470105319029516,1,0
2020-11-06 16:00:00,15435.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,16282.0,0.054807628146947396,1,0
2020-11-06 20:00:00,15579.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,16320.7,0.04754709908651655,1,0
2020-11-07 00:00:00,15545.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16178.62,0.04074698299153434,1,0
2020-11-07 04:00:00,15444.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,16089.0,0.04173613624605932,1,0
2020-11-07 08:00:00,15515.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,15925.44,0.02639155191915421,1,0
2020-11-07 12:00:00,15337.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,15951.92,0.04003218169881029,1,0
2020-11-07 16:00:00,14643.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,15881.33,0.08452953934573104,1,0
2020-11-07 20:00:00,14818.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,16070.45,0.0845002463170541,1,0
2020-11-08 00:00:00,14957.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,15929.47,0.06498852408271216,1,0
2020-11-08 04:00:00,14931.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,16030.9,0.07362741795381988,1,0
2020-11-08 08:00:00,15171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15953.72,0.05159317118186002,1,0
2020-11-08 12:00:00,15353.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,16027.19,0.04387995425141411,1,0
