open_time,close,returns_24h,returns_7d,price_zscore_20,price_momentum_10,ma20_ma100_ratio,ma_arrangement,ma5_slope,ma20_slope,volatility_20d,atr_14,volume_ratio_20,taker_buy_ratio,obv_momentum,rsi_14,macd,bb_position,bb_width,resistance_distance_20,support_distance_20,price_percentile_50,day_of_week,us_session,transaction_count_24h,fear_greed_index,funding_rate_deviation,open_interest_total,orderbook_imbalance,future_close,r_future_7d,y_up,y_dn
2020-11-06 00:00:00,15430.48,0.0782032926451772,0.148755912968254,1.848481944486286,0.1245894064495345,1.0591007447343936,3,0.0125707078448504,0.006620770961074,0.0680888473350798,417.11,1.8304418585101665,0.4957618409018218,116637.42460200004,79.73128585493467,441.41701055700105,0.9621204861215716,0.1918590284501194,0.0343164956631291,0.1390423369849803,0.979591836734694,4,0,340351,90,0.0015339084072886,18999965.44458014,-0.201796348,16432.99,0.06496946303679474,1,0
2020-11-06 04:00:00,15733.3,0.0868638637954055,0.19020709647355,1.943058039271872,0.1309588418765235,1.0642328460264712,3,0.0131986328622959,0.0076452081247082,0.0687805633936105,413.40928571428566,0.958406333020517,0.4544380029105969,123378.53040619998,79.73523386168294,490.5777595123909,0.9857645098179676,0.2090320880299268,0.0144089288324763,0.1556132534179097,1.0,4,0,340351,90,0.0009757953740547,22064594.916611064,0.0210066414308568,16253.3,0.03305091748075739,1,0
2020-11-06 08:00:00,15572.36,0.0580774039245528,0.1666620466758916,1.53626362550673,0.104245702461875,1.0694395183521843,3,0.0063540194693043,0.0075750316894384,0.0691894033276042,422.0092857142858,1.2578627427116786,0.4769846110085853,90049.01871179999,78.7783814619696,510.6648675599208,0.8840659063766826,0.2135403807677171,0.0248928229247204,0.1468865348604836,0.9591836734693876,4,0,340351,90,0.0023935483550031,20368146.2141889,0.1268550176927677,16225.0,0.04191015363117723,1,0
2020-11-06 12:00:00,15411.27,0.0219498868056651,0.137364778398197,1.2014218618568129,0.0895969389161914,1.073953449456552,3,0.0037355235438063,0.0067871639556414,0.069594182866257,418.91928571428576,1.2415337301815936,0.4813879939455745,58163.689681699965,82.63955730997316,507.732603294482,0.8003554654642031,0.2115917414158334,0.0356057612383664,0.1302176913388708,0.9183673469387756,4,0,340351,90,0.0011026806654423,16673651.073720776,0.0359488040998444,16100.17,0.04470105319029516,1,0
2020-11-06 16:00:00,15435.99,0.0208393955907328,0.1403286240695485,1.1198239314787373,0.0785883033604937,1.0784080977124286,3,-0.001985347,0.0065264892126184,0.0695844163309613,417.1000000000001,0.575647239584223,0.4414213633980925,61138.59748644987,82.01849044486099,501.621084530454,0.7799559828696844,0.2082695174564842,0.0339472881234051,0.1272992532386973,0.9387755102040816,4,1,340351,90,0.0021302931235827,20450127.267230444,-0.139930868,16282.0,0.054807628146947396,1,0
2020-11-06 20:00:00,15579.92,-0.00064785,0.1489531788113656,1.1836666632561414,0.0762683002817792,1.0826125473172548,3,0.0019224821838492,0.0063680607930889,0.0696940198097814,437.45714285714297,0.7896045819801877,0.4846396520056437,68204.86684164987,81.70041685824921,502.5979734243865,0.7959166658140353,0.2073964897419479,0.0243955039563746,0.1318954140971198,0.9591836734693876,4,1,340351,90,0.0027954216010548,21124644.05420355,0.260069315250493,16320.7,0.04754709908651655,1,0
2020-11-07 00:00:00,15545.2,0.0074346358635635,0.1522183531309249,1.034007935055019,0.0562319943469045,1.0867654762448893,3,-0.002425696,0.0061743438246932,0.0697449727661039,429.2857142857144,0.6745300213882947,0.4992429213029353,48134.31656519999,79.14417980868669,494.8660433734858,0.7585019837637547,0.2029699235170574,0.0266834778581169,0.1299565139078301,0.9183673469387756,5,0,270901,88,0.0010635926980396,19636571.287218373,-0.084783473,16178.62,0.04074698299153434,1,0
2020-11-07 04:00:00,15444.41,-0.018361691,0.1376142261349691,0.8125393708452187,0.024147461648539,1.089820166292389,3,-0.001652742,0.0047869194548783,0.0698888128391238,421.0092857142858,0.3509032077898384,0.477023510991633,35585.42597155017,75.6533678429392,475.128536429067,0.7031348427113048,0.200058507037711,0.0333835996324884,0.1242786224918918,0.8979591836734694,5,0,270901,88,0.0015762818894943,16822741.21096309,0.666582267890658,16089.0,0.04173613624605932,1,0
2020-11-07 08:00:00,15515.95,-0.003622444,0.1130523672883787,0.8224620495119475,0.0261274476088695,1.093485839031085,3,0.0013503355909015,0.0054229270959685,0.069819681122744,415.0057142857143,0.4273403611666578,0.4591849575469945,36293.833226150135,74.6975996588514,459.957002083107,0.705615512377987,0.1935152833187647,0.0286189372871141,0.1283163454380814,0.8979591836734694,5,0,270901,88,0.0021490299847358,19598748.58486629,-0.194581993,15925.44,0.02639155191915421,1,0
2020-11-07 12:00:00,15337.91,-0.004760153,0.1072688315494778,0.5012572982266125,-0.016171243,1.0977948304812213,3,-0.001266801,0.0057879994179521,0.0703153619121206,423.70214285714286,0.9062947096037544,0.4324387158345907,12396.513619099976,67.5762963446262,428.6261760048419,0.625314324556653,0.1748346222726707,0.0405589809824154,0.115296021426648,0.7959183673469388,5,0,270901,88,0.0022045794616298,23002914.607935976,0.2015622878102573,15951.92,0.04003218169881029,1,0
