"open_time","close","returns_24h","returns_7d","price_zscore_20","price_momentum_10","MA20_MA100_ratio","MA_arrangement","MA5_slope","MA20_slope","volatility_20D","ATR_14","volume_ratio_20","taker_buy_ratio","obv_momentum","RSI_14","MACD","BB_position","BB_width","resistance_distance_20","support_distance_20","price_percentile_50","day_of_week","us_session","transaction_count_24h","fear_greed_index","funding_rate_deviation","open_interest_total","orderbook_imbalance"
"11/6/2020 0:00","15430.48","0.07820329264517722","0.14875591296825408","1.8484819444862859","0.12458940644953453","1.0591007447343936","3","0.012570707844850492","0.0066207709610740404","0.06808884733507983","417.10999999999996","1.8304418585101663","0.49576184090182185","116637.42460200004","79.73128585493467","441.41701055700105","0.9621204861215715","0.1918590284501194","0.03431649566312911","0.13904233698498036","0.9795918367346939","4","0","340351","90","0.0015339084072886243","18999965.44458014","-0.201796348"
"11/6/2020 4:00","15733.3","0.08686386379540556","0.19020709647355005","1.943058039271872","0.1309588418765235","1.0642328460264712","3","0.013198632862295978","0.007645208124708264","0.06878056339361052","413.40928571428566","0.958406333020517","0.45443800291059694","123378.53040619998","79.73523386168294","490.5777595123909","0.9857645098179677","0.20903208802992682","0.014408928832476386","0.15561325341790977","1","4","0","340351","90","0.0009757953740547995","22064594.916611064","0.02100664143085689"
"11/6/2020 8:00","15572.36","0.05807740392455285","0.16666204667589168","1.5362636255067301","0.10424570246187503","1.0694395183521843","3","0.006354019469304331","0.0075750316894384615","0.06918940332760425","422.0092857142858","1.2578627427116786","0.47698461100858536","90049.01871179999","78.7783814619696","510.6648675599208","0.8840659063766826","0.21354038076771714","0.024892822924720427","0.14688653486048361","0.9591836734693877","4","0","340351","90","0.002393548355003151","20368146.2141889","0.12685501769276775"
"11/6/2020 12:00","15411.27","0.02194988680566512","0.13736477839819705","1.2014218618568129","0.08959693891619147","1.0739534494565521","3","0.0037355235438063443","0.006787163955641446","0.06959418286625701","418.91928571428576","1.2415337301815936","0.4813879939455745","58163.689681699965","82.63955730997316","507.73260329448203","0.8003554654642031","0.2115917414158334","0.03560576123836644","0.13021769133887082","0.9183673469387755","4","0","340351","90","0.0011026806654423765","16673651.073720777","0.03594880409984446"
"11/6/2020 16:00","15435.99","0.02083939559073289","0.1403286240695485","1.1198239314787373","0.07858830336049372","1.0784080977124286","3","-0.001985347","0.006526489212618454","0.0695844163309613","417.1000000000001","0.575647239584223","0.44142136339809257","61138.59748644987","82.01849044486099","501.621084530454","0.7799559828696844","0.2082695174564842","0.03394728812340512","0.12729925323869734","0.9387755102040817","4","1","340351","90","0.002130293123582788","20450127.267230444","-0.139930868"
"11/6/2020 20:00","15579.92","-0.00064785","0.1489531788113656","1.1836666632561414","0.07626830028177922","1.0826125473172548","3","0.0019224821838492478","0.006368060793088987","0.06969401980978147","437.45714285714297","0.7896045819801877","0.4846396520056437","68204.86684164987","81.70041685824921","502.5979734243865","0.7959166658140353","0.20739648974194796","0.02439550395637461","0.13189541409711988","0.9591836734693877","4","1","340351","90","0.0027954216010548038","21124644.05420355","0.260069315250493"
"11/7/2020 0:00","15545.2","0.007434635863563521","0.1522183531309249","1.034007935055019","0.05623199434690451","1.0867654762448893","3","-0.002425696","0.006174343824693213","0.06974497276610395","429.2857142857144","0.6745300213882947","0.49924292130293535","48134.31656519999","79.14417980868669","494.8660433734858","0.7585019837637547","0.20296992351705742","0.026683477858116925","0.1299565139078301","0.9183673469387755","5","0","270901","88","0.0010635926980396128","19636571.287218373","-0.084783473"
"11/7/2020 4:00","15444.41","-0.018361691","0.1376142261349691","0.8125393708452187","0.024147461648539092","1.089820166292389","3","-0.001652742","0.004786919454878332","0.06988881283912385","421.0092857142858","0.3509032077898384","0.47702351099163304","35585.42597155017","75.6533678429392","475.128536429067","0.7031348427113048","0.20005850703771103","0.0333835996324884","0.12427862249189188","0.8979591836734694","5","0","270901","88","0.0015762818894943303","16822741.21096309","0.666582267890658"
"11/7/2020 8:00","15515.95","-0.003622444","0.11305236728837875","0.8224620495119475","0.026127447608869536","1.093485839031085","3","0.0013503355909015601","0.005422927095968572","0.06981968112274403","415.0057142857143","0.4273403611666578","0.45918495754699457","36293.833226150135","74.6975996588514","459.957002083107","0.705615512377987","0.19351528331876477","0.02861893728711418","0.12831634543808149","0.8979591836734694","5","0","270901","88","0.0021490299847358447","19598748.58486629","-0.194581993"
"11/7/2020 12:00","15337.91","-0.004760153","0.10726883154947786","0.5012572982266125","-0.016171243","1.0977948304812213","3","-0.001266801","0.00578799941795211","0.07031536191212068","423.70214285714286","0.9062947096037545","0.43243871583459076","12396.513619099976","67.5762963446262","428.6261760048419","0.625314324556653","0.17483462227267077","0.04055898098241548","0.11529602142664806","0.7959183673469388","5","0","270901","88","0.002204579461629859","23002914.607935976","0.20156228781025734"
