entry_time,exit_time,direction,entry_open,exit_open,gross_return,net_return
2021-11-07 12:00:00,2021-11-14 12:00:00,SHORT,61938.01,64070.41,-0.03328213445176953,-0.10084640335530859
2021-11-14 12:00:00,2021-11-21 12:00:00,SHORT,64070.41,59199.26,0.08228396773878588,0.24585190321635764
2021-11-25 20:00:00,2021-12-02 20:00:00,SHORT,58960.36,56480.34,0.04390943822222049,0.13072831466666146
2021-12-03 12:00:00,2021-12-08 04:00:00,SHORT,55975.32,50480.93,0.10884090289144832,0.32552270867434496
2021-12-21 12:00:00,2021-12-25 00:00:00,SHORT,48418.49,50844.14,-0.04770756275944488,-0.14412268827833463
2021-12-25 00:00:00,2021-12-28 12:00:00,SHORT,50844.14,48937.48,0.0389611398053189,0.1158834194159567
2021-12-28 12:00:00,2022-01-01 00:00:00,SHORT,48937.48,46813.2,0.045377799424094256,0.13513339827228277
2022-01-01 00:00:00,2022-01-04 12:00:00,SHORT,46813.2,46925.35,-0.0023899661909820846,-0.008169898572946255
2022-01-04 16:00:00,2022-01-07 00:00:00,SHORT,46052.36,41803.11,0.1016491356743554,0.3039474070230662
2022-01-12 20:00:00,2022-01-15 04:00:00,SHORT,43902.66,43088.12,0.01890405058285216,0.05571215174855648
2022-01-15 04:00:00,2022-01-17 12:00:00,SHORT,43088.12,42477.66,0.014371318947418388,0.04211395684225516
2022-01-17 12:00:00,2022-01-19 20:00:00,SHORT,42477.66,41660.01,0.019626735567274345,0.057880206701823034
2022-01-20 04:00:00,2022-01-22 12:00:00,SHORT,42058.31,34838.68,0.20723029689988248,0.6206908906996474
2022-01-28 12:00:00,2022-01-30 20:00:00,SHORT,37188.98,37881.76,-0.018287957053737758,-0.055863871161213274
2022-01-30 20:00:00,2022-02-02 04:00:00,SHORT,37881.76,38284.69,-0.010524572616364414,-0.03257371784909324
2022-02-02 04:00:00,2022-02-04 12:00:00,SHORT,38284.69,39490.87,-0.03054326227809112,-0.09262978683427336
2022-02-06 20:00:00,2022-02-09 04:00:00,SHORT,42380.87,43807.75,-0.0325714057444173,-0.09871421723325191
2022-02-09 04:00:00,2022-02-11 12:00:00,SHORT,43807.75,43669.01,0.003177081413112015,0.008531244239336044
2022-04-05 00:00:00,2022-04-07 08:00:00,SHORT,46645.82,43766.74,0.06578237264187381,0.19634711792562143
2022-04-17 12:00:00,2022-04-19 20:00:00,SHORT,40445.3,41493.18,-0.025254270701835724,-0.07676281210550717
2022-04-20 00:00:00,2022-04-22 08:00:00,SHORT,41386.14,40585.54,0.019726237472755148,0.058178712418265444
2022-04-22 08:00:00,2022-04-24 16:00:00,SHORT,40585.54,39703.74,0.022209494621917347,0.06562848386575204
2022-04-24 20:00:00,2022-04-27 04:00:00,SHORT,39450.13,39112.74,0.008626089606609044,0.024878268819827132
2022-05-23 04:00:00,2022-05-25 12:00:00,SHORT,30457.01,29629.36,0.027933441694319328,0.08280032508295798
2022-05-30 00:00:00,2022-06-01 08:00:00,SHORT,30353.07,31609.16,-0.03973816450674428,-0.12021449352023283
2022-06-03 00:00:00,2022-06-05 04:00:00,SHORT,30529.96,29645.67,0.02982863939320657,0.0884859181796197
2022-06-05 08:00:00,2022-06-07 16:00:00,SHORT,29718.69,31059.71,-0.04317554800093115,-0.13052664400279346
2022-06-09 16:00:00,2022-06-12 00:00:00,SHORT,30017.12,27553.23,0.08942290976411837,0.2672687292923551
2022-06-20 00:00:00,2022-06-22 08:00:00,SHORT,19980.49,20506.3,-0.02564138825629181,-0.07792416476887543
2023-01-02 00:00:00,2023-01-04 08:00:00,LONG,16661.94,16835.35,0.010407551581628649,0.030222654744885946
2023-01-04 08:00:00,2023-01-06 16:00:00,LONG,16835.35,16939.91,0.006210741089433869,0.017632223268301606
2023-01-07 00:00:00,2023-01-09 08:00:00,LONG,16952.46,17238.93,0.01689843243989375,0.04969529731968125
2023-01-09 08:00:00,2023-01-11 16:00:00,LONG,17238.93,17550.29,0.018061445808991605,0.053184337426974815
2023-01-11 16:00:00,2023-01-14 00:00:00,LONG,17550.29,20967.23,0.19469421872800963,0.5830826561840289
2023-01-14 00:00:00,2023-01-16 08:00:00,LONG,20967.23,20817.56,-0.007138281976207583,-0.02241484592862275
2023-01-16 12:00:00,2023-01-18 20:00:00,LONG,20994.17,20677.47,-0.015085140303236377,-0.04625542090970913
2023-01-21 04:00:00,2023-01-23 12:00:00,LONG,22638.36,22853.14,0.009487436369065572,0.027462309107196714
2023-01-23 12:00:00,2023-01-25 20:00:00,LONG,22853.14,23060.94,0.009092842384022415,0.026278527152067244
2023-02-14 04:00:00,2023-02-16 12:00:00,LONG,21768.48,25072.67,0.15178781430765942,0.45436344292297826
2023-02-16 16:00:00,2023-02-19 00:00:00,LONG,24872.58,24681.69,-0.007674716495032041,-0.024024149485096125
2023-02-19 04:00:00,2023-02-21 12:00:00,LONG,24582.62,24558.09,-0.0009978594633118787,-0.003993578389935636
2023-03-05 08:00:00,2023-03-07 16:00:00,LONG,22389.77,22124.77,-0.011835762493317303,-0.03650728747995191
2023-03-11 12:00:00,2023-03-13 20:00:00,LONG,20061.98,24113.48,0.2019491595545404,0.6048474786636212
2023-03-13 20:00:00,2023-03-16 04:00:00,LONG,24113.48,24614.27,0.020768051728742742,0.061304155186228226
2023-03-16 08:00:00,2023-03-18 16:00:00,LONG,24824.62,27329.83,0.10091634836706476,0.30174904510119427
2023-03-18 20:00:00,2023-03-21 04:00:00,LONG,26907.49,27505.25,0.022215375718805275,0.06564612715641582
2023-03-21 04:00:00,2023-03-23 12:00:00,LONG,27505.25,28580.87,0.03910598885667271,0.11631796657001814
2023-07-13 16:00:00,2023-07-16 00:00:00,SHORT,31606.01,30188.0,0.046972638134358036,0.1399179144030741
2023-09-27 00:00:00,2023-09-29 08:00:00,LONG,26278.04,26970.78,0.026361935669479086,0.07808580700843726
2023-09-30 20:00:00,2023-10-03 04:00:00,LONG,26962.56,27540.64,0.021440100643262294,0.06332030192978688
2023-10-06 20:00:00,2023-10-09 04:00:00,LONG,27931.09,27813.27,-0.0042182385291802404,-0.013654715587540722
2023-10-14 00:00:00,2023-10-16 08:00:00,LONG,26930.78,27749.6,0.030404615090985132,0.0902138452729554
2023-10-16 08:00:00,2023-10-18 16:00:00,LONG,27749.6,28245.62,0.01787485225012264,0.05262455675036792
2023-10-19 16:00:00,2023-10-22 00:00:00,LONG,28750.75,29907.38,0.04022955922888971,0.11968867768666913
2023-10-22 16:00:00,2023-10-25 00:00:00,LONG,29842.75,33999.39,0.13928475090264802,0.4168542527079441
2023-10-25 04:00:00,2023-10-27 12:00:00,LONG,33857.53,33999.48,0.004192568093419835,0.011577704280259504
2023-10-27 12:00:00,2023-10-29 20:00:00,LONG,33999.48,34525.89,0.01548288385587071,0.04544865156761213
2023-10-29 20:00:00,2023-11-01 04:00:00,LONG,34525.89,34451.28,-0.0021609870158307842,-0.007482961047492353
2023-11-02 08:00:00,2023-11-04 16:00:00,LONG,35373.56,34730.73,-0.018172612538856603,-0.05551783761656981
2023-11-27 12:00:00,2023-11-29 20:00:00,LONG,36751.02,37854.64,0.03002964271467845,0.08908892814403535
2023-12-06 00:00:00,2023-12-08 08:00:00,LONG,43736.06,43653.82,-0.0018803705683593241,-0.0066411117050779725
2023-12-08 12:00:00,2023-12-10 20:00:00,LONG,43760.94,43789.51,0.000652865317792628,0.000958595953377884
2023-12-11 16:00:00,2023-12-14 00:00:00,LONG,40779.99,42713.86,0.04742203222707997,0.1412660966812399
2023-12-16 20:00:00,2023-12-19 04:00:00,LONG,42278.03,43036.16,0.01793200865792488,0.05279602597377464
2023-12-23 16:00:00,2023-12-26 00:00:00,LONG,43703.81,43451.46,-0.005774096125715333,-0.018322288377146
2023-12-26 04:00:00,2023-12-28 12:00:00,LONG,42774.12,42445.99,-0.007671227368324707,-0.02401368210497412
2023-12-28 12:00:00,2023-12-30 20:00:00,LONG,42445.99,42140.28,-0.007202329360205706,-0.02260698808061712
2023-12-30 20:00:00,2024-01-02 04:00:00,LONG,42140.28,45455.53,0.07867176013068722,0.23501528039206165
2024-01-12 20:00:00,2024-01-15 04:00:00,LONG,42782.73,42714.78,-0.0015882576918304636,-0.005764773075491391
2024-01-15 04:00:00,2024-01-17 12:00:00,LONG,42714.78,42482.79,-0.005431141164720876,-0.01729342349416263
2024-01-18 04:00:00,2024-01-20 12:00:00,LONG,42915.33,41570.11,-0.03134590832693118,-0.09503772498079355
2024-01-22 16:00:00,2024-01-25 00:00:00,LONG,39820.31,40012.01,0.004814126258685603,0.013442378776056807
2024-01-31 04:00:00,2024-02-02 12:00:00,LONG,43050.01,43242.09,0.004461787581466092,0.012385362744398276
2024-02-04 16:00:00,2024-02-07 00:00:00,LONG,42636.44,42800.0,0.0038361551761825208,0.010508465528547561
2024-02-09 00:00:00,2024-02-11 08:00:00,LONG,46060.74,48411.71,0.05104064763180105,0.15212194289540315
2024-02-11 12:00:00,2024-02-13 20:00:00,LONG,48150.43,49699.59,0.03217333676978584,0.09552001030935753
2024-02-14 08:00:00,2024-02-16 16:00:00,LONG,51555.12,51756.29,0.0039020372758320487,0.010706111827496145
2024-02-21 08:00:00,2024-02-23 16:00:00,LONG,50965.53,51099.09,0.002620594743152793,0.0068617842294583795
2024-02-23 20:00:00,2024-02-26 00:00:00,LONG,50744.15,51555.59,0.01599080879273762,0.04697242637821286
2024-03-05 16:00:00,2024-03-08 00:00:00,LONG,61410.98,67156.09,0.09355183714703785,0.27965551144111356
2024-03-14 16:00:00,2024-03-17 00:00:00,LONG,69415.09,66538.99,-0.04143335404448789,-0.12530006213346367
2024-03-17 04:00:00,2024-03-19 12:00:00,LONG,65636.67,64051.85,-0.024145344363143306,-0.07343603308942992
2024-03-19 12:00:00,2024-03-21 20:00:00,LONG,64051.85,65501.27,0.022628854592021908,0.06688656377606572
2024-03-22 08:00:00,2024-03-24 16:00:00,LONG,64233.9,65843.02,0.025050946618530023,0.07415283985559007
2024-04-30 12:00:00,2024-05-02 20:00:00,LONG,60796.85,59060.61,-0.028558058517834328,-0.08667417555350299
2024-07-05 20:00:00,2024-07-08 04:00:00,LONG,56628.79,55852.01,-0.013717050991200797,-0.04215115297360239
2024-07-08 04:00:00,2024-07-10 12:00:00,LONG,55852.01,57699.69,0.03308171004051608,0.09824513012154823
2024-08-02 00:00:00,2024-08-04 08:00:00,LONG,64609.18,60896.0,-0.05747139957510683,-0.1734141987253205
2024-08-04 08:00:00,2024-08-06 16:00:00,LONG,60896.0,56765.48,-0.06782908565423007,-0.2044872569626902
2024-08-07 04:00:00,2024-08-09 12:00:00,LONG,56920.91,59810.23,0.05076025664382389,0.15128076993147166
