time,equity_strategy,equity_bh_1x,equity_bh_3x
2020-11-06 00:00:00,1.0,1.0,1.0
2020-11-06 04:00:00,1.0,1.0196247945624504,1.058874383687351
2020-11-06 08:00:00,1.0,1.0091947884965342,1.026379882855871
2020-11-06 12:00:00,1.0,0.9987550614109219,0.9945273822722887
2020-11-06 16:00:00,1.0,1.000357085456836,0.9993131105522621
2020-11-06 20:00:00,1.0,1.0096847278892167,1.0272668348035325
2020-11-07 00:00:00,1.0,1.0074346358635635,1.020399013048791
2020-11-07 04:00:00,1.0,1.0009027586957762,1.000551211182262
2020-11-07 08:00:00,1.0,1.0055390370228277,1.0144551609572252
2020-11-07 12:00:00,1.0,0.994000834711558,0.9795336259838285
2020-11-07 16:00:00,1.0,0.9489996422664753,0.8464949614173569
2020-11-07 20:00:00,1.0,0.9603265744163499,0.8768053764042982
2020-11-08 00:00:00,1.0,0.9693418480824965,0.9014989774067619
2020-11-08 04:00:00,1.0,0.9676646481509324,0.8968195321949332
2020-11-08 08:00:00,1.0,0.9831839320617375,0.9399687687516797
2020-11-08 12:00:00,1.0,0.995009876556011,0.9738871988331124
2020-11-08 16:00:00,1.0,0.994101933316397,0.9712211922361094
2020-11-08 20:00:00,1.0,1.0028916793255944,0.9969835028575947
2020-11-09 00:00:00,1.0,1.0002333044727059,0.9890553608836071
2020-11-09 04:00:00,1.0,0.9917552791617629,0.9639055193036503
2020-11-09 08:00:00,1.0,1.0241022962344655,1.0582215333784348
2020-11-09 12:00:00,1.0,0.9721641841342586,0.8972160493670647
2020-11-09 16:00:00,1.0,0.9954324168788007,0.9616392163573277
2020-11-09 20:00:00,1.0,0.9933851701308059,0.9557059775204668
2020-11-10 00:00:00,1.0,0.9938064143176359,0.9569217765864917
2020-11-10 04:00:00,1.0,0.9899069892835476,0.9456576772281239
2020-11-10 08:00:00,1.0,0.99019861987443,0.9464934609234653
2020-11-10 12:00:00,1.0,0.9829564602008488,0.9257259402369263
2020-11-10 16:00:00,1.0,0.9914105069965415,0.9496114246982131
2020-11-10 20:00:00,1.0,0.9913631980340205,0.9494754816222111
2020-11-11 00:00:00,1.0,0.998147821713906,0.9689693477921263
2020-11-11 04:00:00,1.0,0.9980577402647224,0.9687070033943381
2020-11-11 08:00:00,1.0,1.0093321789082381,1.0015356481691888
2020-11-11 12:00:00,1.0,1.0153456016922346,1.0194365654634332
2020-11-11 16:00:00,1.0,1.0244386435159498,1.0468256021941795
2020-11-11 20:00:00,1.0,1.0164453730538514,1.0223217623069931
2020-11-12 00:00:00,1.0,1.0128097116875168,1.01135172151469
2020-11-12 04:00:00,1.0,1.028014034560169,1.056899027985818
2020-11-12 08:00:00,1.0,1.021520393403186,1.036870732273376
2020-11-12 12:00:00,1.0,1.0450102653967985,1.1083992918566554
2020-11-12 16:00:00,1.0,1.041044089360797,1.095779013792649
2020-11-12 20:00:00,1.0,1.0558232796387403,1.1424477189308597
2020-11-13 00:00:00,1.0,1.0649694630367943,1.1721374498589516
2020-11-13 04:00:00,1.0,1.0533243295088677,1.1336864963139501
2020-11-13 08:00:00,1.0,1.051490297126207,1.1277646229997893
2020-11-13 12:00:00,1.0,1.0434004645351276,1.1017346338677592
2020-11-13 16:00:00,1.0,1.0551842846107182,1.1390625145937714
2020-11-13 20:00:00,1.0,1.0576923076923073,1.1471846837341924
2020-11-14 00:00:00,1.0,1.0484845578361783,1.1172242041227258
2020-11-14 04:00:00,1.0,1.0426765726017593,1.098657917287357
2020-11-14 08:00:00,1.0,1.0320767727251514,1.0651512066866635
2020-11-14 12:00:00,1.0,1.0337928567354997,1.0704644421049119
2020-11-14 16:00:00,1.0,1.0292181448665234,1.0562534722088393
2020-11-14 20:00:00,1.0,1.0414744064993438,1.093988093301179
2020-11-15 00:00:00,1.0,1.032337944120986,1.0651966578291912
2020-11-15 04:00:00,1.0,1.0389112976394765,1.0855443963924232
2020-11-15 08:00:00,1.0,1.0339095089718524,1.0698654919303716
2020-11-15 12:00:00,1.0,1.0386708644189935,1.0846463112675782
2020-11-15 16:00:00,1.0,1.0275305758472835,1.0497461133713348
2020-11-15 20:00:00,1.0,1.0341220752692069,1.0699481425725033
2020-11-16 00:00:00,1.0,1.037330011768914,1.0799053587893368
2020-11-16 04:00:00,1.0,1.052184377932507,1.1262974696108352
2020-11-16 08:00:00,1.0,1.052182433728568,1.126291226165229
2020-11-16 12:00:00,1.0,1.06607182667033,1.1708942367428699
2020-11-16 16:00:00,1.0,1.0873939112717161,1.2411500263168704
2020-11-16 20:00:00,1.0,1.0831529544123055,1.2266281580322382
2020-11-17 00:00:00,1.0,1.0740806507639422,1.195806075884092
2020-11-17 04:00:00,1.0,1.0855138660624941,1.2339928963370301
2020-11-17 08:00:00,1.0,1.1013954199739733,1.2881545021596605
2020-11-17 12:00:00,1.0,1.1225956677951687,1.362539761574718
2020-11-17 16:00:00,1.0,1.1461224796636267,1.4482060906551302
2020-11-17 20:00:00,1.0,1.1444478720039817,1.4418581381757385
2020-11-18 00:00:00,1.0,1.1685125802956227,1.5328135141485297
2020-11-18 04:00:00,1.0,1.170650556560781,1.5412270793101501
2020-11-18 08:00:00,1.0,1.1827234149553352,1.588910863795835
2020-11-18 12:00:00,1.0,1.158348930169379,1.4906743280527053
2020-11-18 16:00:00,1.0,1.144481571538928,1.4371367929372099
2020-11-18 20:00:00,1.0,1.1520134175994523,1.4655102330034322
2020-11-19 00:00:00,1.0,1.1610435968291328,1.4999729047000734
2020-11-19 04:00:00,1.0,1.1438360958311082,1.4332808735176261
2020-11-19 08:00:00,1.0,1.1513141522493144,1.4613919515148095
2020-11-19 12:00:00,1.0,1.1694386694386696,1.5304096653000552
2020-11-19 16:00:00,1.0,1.1636579030593994,1.5077143133225377
2020-11-19 20:00:00,1.0,1.1537437591053552,1.4691779959790474
2020-11-20 00:00:00,1.0,1.163609946028899,1.5068688210462875
2020-11-20 04:00:00,1.0,1.1802614047003075,1.571559477866086
2020-11-20 08:00:00,1.0,1.1835989547959622,1.584891673085189
2020-11-20 12:00:00,1.0,1.2098495963832623,1.6903440049656977
2020-11-20 16:00:00,1.0,1.207180852442698,1.6791580806965807
2020-11-20 20:00:00,1.0,1.2090142367573788,1.686808654545866
2020-11-21 00:00:00,1.0,1.2092611506576594,1.6878421324601662
2020-11-21 04:00:00,1.0,1.2099422701043652,1.6906941766991528
2020-11-21 08:00:00,1.0,1.200938661661854,1.652951016370388
2020-11-21 12:00:00,1.0,1.2177203819971902,1.722245217407313
2020-11-21 16:00:00,1.0,1.2105890419481447,1.691987245688805
2020-11-21 20:00:00,1.0,1.212133387943862,1.6984626398245706
2020-11-22 00:00:00,1.0,1.2028083377834005,1.6592633665360907
2020-11-22 04:00:00,1.0,1.1988162390282096,1.642742172729878
2020-11-22 08:00:00,1.0,1.1592523369331353,1.480098503816902
2020-11-22 12:00:00,1.0,1.1856662916513294,1.5812721317132628
2020-11-22 16:00:00,1.0,1.2036942467117033,1.653401456286652
2020-11-22 20:00:00,1.0,1.1933802448141602,1.610899336323561
2020-11-23 00:00:00,1.0,1.190436071982207,1.5989766501178226
2020-11-23 04:00:00,1.0,1.1962123018856188,1.6222522974843097
2020-11-23 08:00:00,1.0,1.2033131827396168,1.6511420361905633
2020-11-23 12:00:00,1.0,1.1834926716472853,1.5695511099559964
2020-11-23 16:00:00,1.0,1.1953250968213562,1.616627690598236
2020-11-23 20:00:00,1.0,1.1903712651842329,1.5965281342003197
2020-11-24 00:00:00,1.0,1.1884607607799629,1.5888410181186192
2020-11-24 04:00:00,1.0,1.1904594024294775,1.5968569087682647
2020-11-24 08:00:00,1.0,1.235540955304048,1.7782712157631417
2020-11-24 12:00:00,1.0,1.2545669350532196,1.860421512751035
2020-11-24 16:00:00,1.0,1.2416988972475258,1.803174728163354
2020-11-24 20:00:00,1.0,1.2416988972475258,1.803174728163354
2020-11-25 00:00:00,1.0,1.2188882004966795,1.7037987715507632
2020-11-25 04:00:00,1.0,1.2297174164381148,1.7492109877253652
